encoder,level,grid_resolution,total_grid_cells,hashmap_size,hash_collision_occurs,unique_cells_used,total_coordinates,collision_rate,max_collisions_per_cell,avg_collisions_per_cell,physical_scale
xyt,17,"[1048576.0, 1048576.0, 1048576.0]",1152921504606846976,262144,True,1,90002,0.999988889135797,90002,90002.0,30 seconds
xyt,18,"[2097152.0, 2097152.0, 2097152.0]",9223372036854775808,262144,True,1,90002,0.999988889135797,90002,90002.0,15 seconds
yzt,0,"[8.0, 8.0, 8.0]",512,512,False,17,90002,0.9998111153085487,19554,5294.2353515625,45.66 days
yzt,1,"[16.0, 16.0, 16.0]",4096,4096,False,66,90002,0.9992666829626008,7862,1363.666748046875,22.83 days
yzt,2,"[32.0, 32.0, 32.0]",32768,32768,False,255,90002,0.9971667296282305,3878,352.94903564453125,11.41 days
yzt,3,"[64.0, 64.0, 64.0]",262144,262144,False,1089,90002,0.9879002688829137,2298,82.6464614868164,5.71 days
yzt,4,"[128.0, 128.0, 128.0]",2097152,262144,True,4986,90002,0.9446012310837537,1262,18.050941467285156,2.85 days
yzt,5,"[256.0, 256.0, 256.0]",16777216,262144,True,10211,90002,0.8865469656229862,632,8.814220428466797,1.43 days
yzt,6,"[512.0, 512.0, 512.0]",134217728,262144,True,7913,90002,0.9120797315615209,1249,11.373941421508789,17.12 hours
yzt,7,"[1024.0, 1024.0, 1024.0]",1073741824,262144,True,5122,90002,0.9430901535521433,1860,17.571651458740234,8.56 hours
yzt,8,"[2048.0, 2048.0, 2048.0]",8589934592,262144,True,1791,90002,0.9801004422123952,2802,50.25236892700195,4.28 hours
yzt,9,"[4096.0, 4096.0, 4096.0]",68719476736,262144,True,315,90002,0.9965000777760494,3530,285.72064208984375,2.14 hours
yzt,10,"[8192.0, 8192.0, 8192.0]",549755813888,262144,True,67,90002,0.9992555720983978,5400,1343.3133544921875,1.07 hours
yzt,11,"[16384.0, 16384.0, 16384.0]",4398046511104,262144,True,9,90002,0.9999000022221728,30137,10000.22265625,1926 seconds
yzt,12,"[32768.0, 32768.0, 32768.0]",35184372088832,262144,True,1,90002,0.999988889135797,90002,90002.0,963 seconds
yzt,13,"[65536.0, 65536.0, 65536.0]",281474976710656,262144,True,1,90002,0.999988889135797,90002,90002.0,482 seconds
yzt,14,"[131072.0, 131072.0, 131072.0]",2251799813685248,262144,True,1,90002,0.999988889135797,90002,90002.0,241 seconds
yzt,15,"[262144.0, 262144.0, 262144.0]",18014398509481984,262144,True,1,90002,0.999988889135797,90002,90002.0,120 seconds
yzt,16,"[524288.0, 524288.0, 524288.0]",144115188075855872,262144,True,1,90002,0.999988889135797,90002,90002.0,60 seconds
yzt,17,"[1048576.0, 1048576.0, 1048576.0]",1152921504606846976,262144,True,1,90002,0.999988889135797,90002,90002.0,30 seconds
yzt,18,"[2097152.0, 2097152.0, 2097152.0]",9223372036854775808,262144,True,1,90002,0.999988889135797,90002,90002.0,15 seconds
xzt,0,"[8.0, 8.0, 8.0]",512,512,False,25,90002,0.9997222283949245,16050,3600.079833984375,45.66 days
xzt,1,"[16.0, 16.0, 16.0]",4096,4096,False,110,90002,0.9987778049376681,5237,818.199951171875,22.83 days
xzt,2,"[32.0, 32.0, 32.0]",32768,32768,False,479,90002,0.9946778960467545,3443,187.89561462402344,11.41 days
xzt,3,"[64.0, 64.0, 64.0]",262144,262144,False,2072,90002,0.9769782893713473,2207,43.437259674072266,5.71 days
xzt,4,"[128.0, 128.0, 128.0]",2097152,262144,True,7926,90002,0.9119352903268816,1249,11.35528564453125,2.85 days
xzt,5,"[256.0, 256.0, 256.0]",16777216,262144,True,10922,90002,0.8786471411746406,632,8.240431785583496,1.43 days
xzt,6,"[512.0, 512.0, 512.0]",134217728,262144,True,3719,90002,0.9586786960289772,1249,24.200590133666992,17.12 hours
xzt,7,"[1024.0, 1024.0, 1024.0]",1073741824,262144,True,2034,90002,0.977400502211062,1842,44.24877166748047,8.56 hours
xzt,8,"[2048.0, 2048.0, 2048.0]",8589934592,262144,True,637,90002,0.9929223795026777,2947,141.29042053222656,4.28 hours
xzt,9,"[4096.0, 4096.0, 4096.0]",68719476736,262144,True,128,90002,0.9985778093820137,3541,703.140625,2.14 hours
xzt,10,"[8192.0, 8192.0, 8192.0]",549755813888,262144,True,16,90002,0.9998222261727517,11464,5625.125,1.07 hours
xzt,11,"[16384.0, 16384.0, 16384.0]",4398046511104,262144,True,2,90002,0.999977778271594,46438,45001.0,1926 seconds
xzt,12,"[32768.0, 32768.0, 32768.0]",35184372088832,262144,True,1,90002,0.999988889135797,90002,90002.0,963 seconds
xzt,13,"[65536.0, 65536.0, 65536.0]",281474976710656,262144,True,1,90002,0.999988889135797,90002,90002.0,482 seconds
xzt,14,"[131072.0, 131072.0, 131072.0]",2251799813685248,262144,True,1,90002,0.999988889135797,90002,90002.0,241 seconds
xzt,15,"[262144.0, 262144.0, 262144.0]",18014398509481984,262144,True,1,90002,0.999988889135797,90002,90002.0,120 seconds
xzt,16,"[524288.0, 524288.0, 524288.0]",144115188075855872,262144,True,1,90002,0.999988889135797,90002,90002.0,60 seconds
xzt,17,"[1048576.0, 1048576.0, 1048576.0]",1152921504606846976,262144,True,1,90002,0.999988889135797,90002,90002.0,30 seconds
xzt,18,"[2097152.0, 2097152.0, 2097152.0]",9223372036854775808,262144,True,1,90002,0.999988889135797,90002,90002.0,15 seconds
